,Unnamed: 0,Issue Key,Summary,Description,Assignee,customfield_10010,customfield_11351,customfield_11352,Skills
148,150,AEX-116874,Modify network api interface to facilitate the SWDL interactions,Modify network api interface to facilitate the SWDL interactions,kpatel27,Create an MR to Modify network api interface to facilitate the SWDL interactions and address all the review comments,,,"c++, autosar adaptive"
149,151,AEX-94005,Routing network requests from SWDL app to core-sum,Routing network requests from SWDL app to core-sum,kpatel27,Integration on Network API implementation done and checked in to git repo,,,C++
150,152,AEX-94003,Definitions of service interface arxml for SOTA,Definitions of service interface arxml for SOTA events and methods,kpatel27,Convert network api calls to service interface of SOTA implementation tested and checked -in to git repo,,,"c++, cmake"
151,153,AEX-40984,Implementation SOTA service interface in SWDL application,Implementation SOTA service interface in SWDL application,kpatel27,Updated SWDL application with SUM source code implemented,,,C++
152,154,AEX-38234,SWE4 Validation of core-sum with network-api interactions,Validation of core-sum with network-api interactions,kpatel27,"Validation of core-sum with network-api interactions and testing on devkit, check in any changes to git repo",,,"testing, C++"
153,155,AEX-37094,SWE3 Fixing Compiler Warnings in master branch, modify master code SO THAT major compilation warnings can be fixed,kpatel27,Major Compiler Warnings fixed in master branch and check in changes to git repo,to modify master code,major compilation warnings can be fixed,"debugging, c++"
154,156,AEX-36772,Developing adaptive autosar jlr_swdl_sum_client,develop an adaptive autosare application client jlr_swdl_sum_client which will be used to test ota software update functionalities of jlr_swdl_application,kpatel27,Sanity Testing Basic IPC communication working,to develop an adaptive autosar application,we can test jlr_swdl_application's ota capabilities,"autosar adaptive, c++"
155,157,AEX-20198,SWE3 Integration of latest sum release, modify the master code SO THAT latest release (300) of core-sum can be integrated,kpatel27,The latest release of core-sum has been integrated without compilation issues The core-sum interfaces have been tested on Devkit or TAMS Any code changes have been checked in to git repo,modify the master code,latest release (300) of core-sum can be integrated,"C++, cmake, testing"
156,158,AEX-159855,Integrating vector bootloader source code build in aurix_build,We need to integrate vector bootloader source code build in aurix_build to facilitate PRTI integration,hgarg1,An MR on aurix_build facilitating the change,to integrate vector bootloader source code build in aurix_build,we can make progress on PRTI integration,"c++, cmake"
157,159,AEX-155236,SWE3 Updating CMakeListtxt files to satisfy the new Ultronbfw version,Make changes in CMakeListtxt files in software-update-orin repository to comply with the new Ultronbfw version,hgarg1,Changes reviewed and an MR ready,to update CMakeList files,it follows the newer version of Ultronbfw,cmake
158,160,AEX-154982,Fixing the current bootchain selection in ISL,Currently there is a bug in ISL where we don't properly select the correct bootchain The aim is to fix it and test it using the available client tools,hgarg1,Code changes merged in master,to fix the current bootchain selection bug,we can have a successful activation,"c++, debugging"
159,161,AEX-150218,SWE3 Generate and validate the F124 package,To have a discussion with Niranjan and figure out how are they generating the partition for f124 and our strategy to generate a f124 tar package for update via our application,hgarg1,A working f124 package,to understand the calibration update requirements,we can make an appropriate F124 package,"python, communication"
160,162,AEX-140132,SWE 3 Add validation support in ISL,To add validation support in ISL,hgarg1,Tested and merged code in gitlab,to add validation support in ISL,we can validate what we write in DADC,c++
161,163,AEX-131996,SWE 3 DAL implementation for validation,Make code changes to support authentication,hgarg1,Code merged and tested,to make changes in dal,dal supports validation,c++
162,164,AEX-131986,Cysec - POC for signed image update as per JLR signing strategy- ,Provide a proof of concept for signed image update as per JLR signing strategy We need to showcase if the authenticator plugin by NVIDIA can or cannot be used for authentication as per JLR requirements,hgarg1,Proof of concept for signed image update using NVIDIA authenticator plugin,to check the usability of authenticator plugin for JLR requirements,we can make a decision going forward what if we need to use the ara crypto stack ,c++
163,165,AEX-129186,SWE 3DAL support for authentication,As a Developer i want Code changes to be done for so that dal support is done for sample drive update,hgarg1,sample drive update done succesfully after the code changes,Code changes would be done,sample drive update works on both TAMS and devkit using the generated package with dupkg,c++
164,166,AEX-125903,Putting Devkit on a working version,With the current version of devkit sample_driveupdate isn't working which hinders testing So we need to find the working version of the avos release,hgarg1,Document the working version and check if sample_driveupdate is running properly,to make sure devkit is on the correct working version,applications like sample_driveupdate are running properly,debugging
165,167,AEX-117027,SWE 3 Update Payload size from 64kb to 15 mb in SWDiag controller,To change the current payload from 64 kb to 15 mb,hgarg1,Merged code in drop 6b branch and an extra patch for master branch as well,to update the payload size,we can achieve faster transfer speed,"debugging, c++"
166,168,AEX-116685,SWE 4 Validate SWDL Delta based Update,Validate SWDL for Delta based Update Use sample delta images to test the ISL and DAL sequence for delta update image,hgarg1,SWDL application validated for end to end sequence of delta update,,,"python, testing"
167,169,AEX-97753,SWE5 - Validation of Signed image update,Orin Full Image update with signed ddu  ,hgarg1,working signed image update,to test full image update with signed ddu,we can confirm the working of signed image update,"testing, debugging"
168,170,AEX-97710,SWE4 Modifying package generation script for singed image generation,We need to modify the package generation script to create a signed f188 image ,hgarg1,Modified script merged in master,to modify the package generation script,we can generate a signed f188 package,python
169,171,AEX-77093,Design High Level Sequence diagrams for SWDL in MSOSA for DAL,Sequence diagram are needed for the DAL (DriveUpdate Abstraction Layer) component to understand the interactions between different modules within DAL,hgarg1,"ISL Sequence diagrams put into MSOSA, reviewed and review comments fixed",to create sequence diagrams for DAL,interactions between DAL modules can be recorded,msosa
170,172,AEX-74478,Develop mock adaptive autosar application,Develop mock adaptive autosar application,hgarg1,Mock adaptive autosar application is available,,,"autosar adaptive, c++"
171,173,AEX-74404,Access the zlib solution suggested in QNX,We need to access the current solution for using zlib in qnx for our usecase,hgarg1,Final understanding on if we will be using this particular solution,,,debugging
172,174,AEX-74403,Reviewing the untarh for tar file reading,We need to understand the library and assess if it can be used for working with a tar ball,hgarg1,Final decision on if we will be using this library moving ahead,to test the library,I can understand if the library can be useful in dealing with a targz file,testing
173,175,AEX-74399,Identify the possible libraries that can be used to extract and read targz file in QNX,Identify the possible libraries that can be used to extract and read targz file in QNX,hgarg1,List of all the libraries etc that can be used,to identify the libraries that support reading tar file without extraction in qnx,it can facilitate calibrate and other apis,debugging
174,176,AEX-62222,GCoverage for Diagnostic Controller,DAL code written needs to be optimized and checked for edge cases,hgarg1,MR raised for optimized code,to optimize the DAL code and make it robust,it serves the required functionality in an efficient manner,"c++, testing"
175,177,AEX-62137,Gtest of Diagnostic SW controller-server ,Writing of mock classes for other layers and writing test cases,hgarg1,unit testing of Diagnostic SW controller -server,write mock classes and test cases,Diagnostic SW controller-server component can be tested effectively,"c++, testing"
176,180,AEX-50086,Adding CMake support for both ultron and linux,To understand the gap in requirements and address them accordingly,hgarg1,Updated TRM requirements,to edit TRM requirements,I can address the gaps in those requirements,"cmake, trm"
177,181,AEX-50076,Prepare ServeFile of Content server for Drive Update Abstraction layer,Content server is used to serve files from gos We have to define the serve file functionality of content server to start serving the file Commited code on gitlab,hgarg1,,,,c++
178,182,AEX-43857,To complete the high level review of the diagnostic component,"Draft the TRM requirements for a diagnostic component and get it peer reviewed, Adding review comments on TRM and addressing them",hgarg1,Comments on TRM and reviewing those Comments,to write requirements for Diagnostic component,we can progress in SWE 1 ASPICE requirements,trm
179,183,AEX-43853,To collaborate on the Update phases of Diagnostic Component,"To write requirements for diagnostic comments and review the first draft of the requirements, Adding comments on TRM and reviewing them",hgarg1,Comments on TRM and reviewing those Comments,to write requirements for Diagnostic component,we can progress in SWE 1 ASPICE requirements,trm
180,184,AEX-43828,To complete final review of the lifecycle Manager,To review the final draft of the requirements and Add new comments in TRM and review them,hgarg1,,to write requirements for LifeCycleManager,we can progress in SWE 1 ASPICE requirements,trm
181,185,AEX-43825,To complete high level review of the lifecycleManager,"Draft requirements and complete a high level review of LifeCycleManager, and Add comments in TRM and review the comments",hgarg1,,to write requirements for LifeCycleManager,we can progress in SWE 1 ASPICE requirements,trm
182,186,AEX-41008,Prepare a sequence diagram for SW update architecture,"SW update has various components and it is important to identify how these components communicate with each other so that all the design decisions and requirements identified on system and SWE 1 level are satisfied hence, a sequence diagram is necessary for proper understanding of how each SW component behaves",hgarg1,,to prepare a sequence diagram,we can have a common understanding of how each component identified behaves and comunicate with each other,msosa
183,187,AEX-41003,Identify the interface for ISL - OTA,"ISL is communicating with various different SW components We have to define the interface for ISL for the same, Prepare a ICD diagram in MSOSA listing interfaces of ISL for OTA update",hgarg1,"Prepare a confluence page for the interface identified, Review with the team and address the review comments",to prepare the interface for ISL,development of other software components can proceed based on the interface provided by ISL,"msosa, communication"
184,188,AEX-40991,SWE 3 GTest Suite for PushMode Handler of DAL,Design the GTest suite for PushMode Handler of DAL,hgarg1,Design the GTest suite for Push Mode Handler of DAL,,,"c++, testing"
185,189,AEX-40989,Prepare BDD for SWDL software in MSOSA,"Prepare an Activity diagram describing the workflow of ISL We also have to make sure that the Responsibilities identified for ISL are properly satisfied
",hgarg1,Updated BDD in MSOSA,update BDD in MSOSA,we can have a proper flow of component which is also compliant with the requirements identified in SWE 1,msosa
186,190,AEX-40987,Add synchronisation support for DAL,Add synchronisation support in pushmode handler cc files,hgarg1,Add synchronisation support in pushmode handler cc files,to add synchronisation support for DAL,we are able to successfully synchronise the partitions after an update,c++
187,191,AEX-40983,Integration of SWDL components,Integrate the SWDL component into SWDL Adaptive AUTOSAR application to facilitate the diagnostic wired update,hgarg1,Code merged with master,to integrate the SWDL component with software update,we can test software update,"c++, cmake"
188,192,AEX-40978,GTest of Diagnostic Controller,"Develop, test and review Abstraction layer for Nvidia Drive Update the developed code must be checked into git",hgarg1,"Abstraction layer for Nvidia developed, tested and reviewed,  and checked into git",to test the ISL DAL integration,we can release tested quality code,"c++, testing"
189,193,AEX-38237,Draft SWE1 Software Requirements for Diagnostic Component,Draft SWE1 Software Requirements for Diagnostic Component for module : service implementation(SOMEIP) for UDS server application,hgarg1,SWE level requirements for Diagnostic component drafted in TRM,to draft swe level requirements for Diagnostic component,"we can complete SWE1 and move ahead to SWE2,3",trm
190,194,AEX-36284,Enable and Disable Push Mode in DriveUpdate,Add Enable and Disable push mode support in PushModeHandler class,hgarg1,"Add Enable and Disable push mode support in PushModeHandler class, Merge the code with the master branch of the project in gitlab",to update add enable and disable pushmode support for DAL,we are able to get into push mode for diagnostic software update of orin,c++
191,195,AEX-36263,Prepare a Life cycle manager,In order to maintain the life cycle of OTA or Diagnostic software update instance we planned to create a life cycle manager,hgarg1,"prepare a class diagram for Life cycle manager Address review comments, update the class diagram in MSOSA",to create a life cycle manager,we can maintain the OTA and diagnostic instances,msosa
192,196,AEX-34050,Complete task runner class diagram,"The processes will be running on various different threads and we need a common class to handle all the tasks on those threads which can be used by ISL, Thread class diagram, update it in MSOSA",hgarg1,"Thread class diagram, update it in MSOSA",to find define classes for task runner,we can use these in our ISL implementation,msosa
193,197,AEX-34044,Complete thread class diagram,The processes will be running on various different threads and we need a common class to handle all the thread related activities which can be used by ISL : Thread class diagram,hgarg1,Thread and task runner class diagram,to find define classes for thread ,we can use these in our ISL implementation,msosa
194,198,AEX-34030,Create ISL abstraction layer,"For a working demo for ISL, we plan on creating a class diagram for abstraction layer for ISL and SUM This would involve identifying different classes and their relations, All the classes defined as part of the abstraction layer",hgarg1,All the classes defined as part of the abstraction layer,to find classes for update process for communication between ISL and SUM,we can have an abstraction layer for the same,c++
195,199,AEX-34023,Completion of DRIVE VM abstraction layer,"For a working demo for ISL, we plan on creating a class diagram for DriveVM APIs This would involve idenitfying different classes within the sample_driveupdate code and mapping relations between them, All the classes defined as part of the abstraction layer",hgarg1,All the classes defined as part of the abstraction layer,to create classes for update process based on sample_driveupdatec  ,we can have an abstraction layer for the NVIDIA drive update,"c++, cmake"
196,200,AEX-33287,Creating Class objects for sample_driveupdate,"We need to create class diagrams for DriveVM APIs As this would help us in Abstraction and tracking changes in the API in future, Presenting the Classes and their functionalities to the team and addressing the review comments",hgarg1,,to identify classes for drive update,class diagrams can be created based on their interactions,msosa
197,201,AEX-33058,Create State Machine Template,To create a state machine template for ISL Class diagram,hgarg1,Class diagram of the template class,to prepare a state machine template,we can use the template to create class diagram and final state machine,msosa
198,202,AEX-30629,Compose System boundary diagram (SYS1-2) ,"Capture how each capability, as identified in SYS-2, interact with each other, System Boundary diagram in MSOSA",hgarg1,System Boundary diagram in MSOSA,to compose System boundary diagram in MSOSA,we can conclude sys1-sys2 requirements ,msosa
199,203,AEX-30627,Capability decomposition for HandleOTAInstallation,"HandleOTAInstallation is one of the Capabilities identified for sys-2 level We need to decompose it into the functional blocks and prepare the activitiy diagram as per the ASPICE requirements, MSOSA activity diagram for HandleOTAInstallation",hgarg1,MSOSA activity diagram for HandleOTAInstallation,to decompose HandleOTAInstallation,we can conclude sys2-sys3 requirements for a particular capabiltiy,"msosa, communication"
200,204,AEX-30626,Capability decomposition for ManageSoftwareupdate,"ManageSofwareupdate is one of the Capabilities identified for sys-2 level We need to decompose it into the functional blocks and prepare the activitiy diagram as per the ASPICE requirements, MSOSA activity diagram for ManageSoftwareupdate",hgarg1,MSOSA activity diagram for ManageSoftwareUpdate,to decompose ManageSoftwareUpdate,we can conclude sys2-sys3 requirements for a particular capabiltiy,"msosa, communication"
201,205,AEX-30625,Capability decomposition for ManageTargetECU,"ManageTargetECU is one of the Capabilities identified for sys-2 level We need to decompose it into the functional blocks and prepare the activitiy diagram as per the ASPICE requirements, MSOSA activity diagram for ManageTargetECU ",hgarg1,MSOSA activity diagram for ManageTargetECU ,to decompose ManageTargetECU,we can conclude sys2-sys3 requirements for a particular capabiltiy,msosa
202,206,AEX-29814,To draft the class diagram for ORIN ISL,"Create class diagrams for ISL, class definitions created and association between classes identified, interactions with SUM and other dependencies identified, and class diagram created with corresponding information",hgarg1,Classes drafted and reviewed,to draft class diagrams for ISL,it can be shared with dependencies and help in implement ISL,msosa
203,207,AEX-28851,Hands on SWE level artefacts identified for ISL,Should review and understand SWE level artefacts for ISL,hgarg1,,go review the SWE level artefacts already identified for ISL,i can understand ISL APIs,communication
204,208,AEX-28834,SWE1 Refine SWUpdate Phases and LifeCycle requirements,Refine SWUpdate Phases and LifeCycle requirements,hgarg1,Refined and requirements released for SWUpdate phases and Lifecycle,to refine SWUpdate phases and lifecycle requirements,SWE1 stays updated with SWE3,"trm, communication"
205,209,AEX-26925,Review CMakeListstxt for Sample apps drive Update,To draft the CMakelists for sample drive update sample and upload the merge request in gitlab,hgarg1,,,,cmake
206,210,AEX-26923,Review SYS-2 changes in MSOSA based on STJLR18199,MSOSA should have all the changes updated as identified in review of STJLR18199,hgarg1,,Review MSOSA SYS-2 diagrams,all the changes are incorporated as identified in the review of STJR18199,msosa
207,211,AEX-26922,Incorporating OTA STJLR document into MSOSA on SYS 2,"Updated sys 2 diagrams based on STJLR-18-199
",hgarg1,,Incorporate STJLR-18-199 to MSOSA,We can verify requirements are properly incorporated in MSOSA diagrams ,msosa
208,212,AEX-26063,To draft the master CMakeLists for nvidia drive update samples,"To draft the master CMakeListstxt file for below subprojects: content_server, remote_content_provider, sample-du-installer, sample_client_app. To include the sub projects and build the respective subfolder",hgarg1,,to draft the master CMakeListstxt for all sub projects of nvidia samples,the binaries for respective sample applications can be generated,cmake
209,213,AEX-25707,Prepae CMakeLists for Sample-du-installer and Content server,"It is easier to control the build project using CMakeLists hence, we have to prepare CMakeLists for sample-du-installer and content_server to support these subprojects. Prepare CMakeListstxt files using MakeFile already present",hgarg1,,to prepare CMakeLists for content_server and sample-du-installer,we can support the respective subproject,cmake
210,214,AEX-23848,To deliver the overall sessions on SYS level artifacts drafted for SW update ,"To deliver a detailed session for SYS level artifacts drafted for SW Update in MSOSAA, and a  detailed session for internal team members for initial RAMP Up activity",hgarg1,,to deliver a session on SYS level artifacts on SW update,the internal team can understand the current progress,msosa
211,215,AEX-23535,SWE 3 Preevision model for jlr_swdl_sota_client mock application,jlr_swdl_sota_client mock application will test the SOTA routine sequences and will finally be replaced by SUM,hgarg1,json file with all the methods and to be sent to ccplex for prevision,to create a mock jlr_swdl_sota client,we can simulate the SOTA routine,"autosar adaptive, communication"
212,216,AEX-23534,Training for TRM and get write access TRM request,"To review the training materials provided for TRM and get accustomed with the usage, To request approval for TRM  Write access",hgarg1,,to get well versed with TRM traininh,it will facilitate to draft requirements in the upcoming sprints,"trm, communication"
213,217,AEX-23115,Implement the PushModeHandler Class for DAL,Header and CC files of the implementation. Merged with the master on gitlab,hgarg1,Header and CC files of the implementation. Merged with the master on gitlab,,,c++
214,218,AEX-23104,Develop a basic Adaptive Autosar application client,To develop adaptive autosar application ,hgarg1,A basic adaptive autosar application is able to run,,,"autosar adaptive, c++"
215,219,AEX-23077,Explore Harman Delta Image update mechanism,Understand the Harman delta generator on PIVI. Identify the dependencies of the delta generator. Compare the delta generator with NVIDIA delta generator,hgarg1,,to explore Harman delta image update,so that we can understand and compare the delta generator,communication
216,220,AEX-23076,Identify the interface of ISL - Diagnostic,"Create class diagrams for ISL. Prepare a ICD diagram in MSOSA listing interfaces of ISL for Diagnostic update, Review with the team and address the review comments",hgarg1,Artefacts created in MSOSA,ICD diagram of ISL for Diagnostic Update,it can be shared with dependencies and help in implement ISL,msosa
217,221,AEX-21932,SYS2-SYS3 Functional decomposition for software update,"To draft the following sys3 documentation. Functional architectural diagram. system partitioning diagram, Interface control document, Traceability between capabilities and functions",hgarg1,,"To get have a functional architecture diagram, Interface control diagram, system partitioning diagram, ",we can conclude sys2-sys3 requirements for a particular capabiltiy,msosa
218,222,AEX-16487,SYS1-SYS3 diagrams for ORIN OTA update,SYS1-SYS3 diagrams for ORIN OTA update uploaded in MSOSA ,hgarg1,,,,msosa
219,223,AEX-16485,SW flash and hands-on for memory layout on devkit,"Full image update is one of the ways to update the ORIN devkit Having a hands-on knowledge of the process is crucial for the team We should go through the documentation and perform a full image update, trying full image update using the documented steps to get familiar with Orin dev kit",hgarg1,Completion of full image update using the documented steps,go through the documented steps of full image update,I can get familiar with the devkit and perform a full image update,communication
